§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
0.1375	0.9602	0.1375	0.9669	0.1375	0.9668	0.1375	0.9551
0.15	0.9622	0.15	0.9636	0.15	0.9632	0.15	0.9573
0.1625	0.9615	0.1625	0.9665	0.1625	0.9569	0.1625	0.9586
0.175	0.9592	0.175	0.964	0.175	0.957	0.175	0.9564
0.1875	0.9578	0.1875	0.9642	0.1875	0.9616	0.1875	0.9537
0.2	0.9596	0.2	0.9633	0.2	0.9593	0.2	0.9497
0.2125	0.9605	0.2125	0.967	0.2125	0.9585	0.2125	0.9485
0.225	0.9585	0.225	0.968	0.225	0.9582	0.225	0.947
0.2375	0.956	0.2375	0.9683	0.2375	0.9598	0.2375	0.9485
0.25	0.9561	0.25	0.9664	0.25	0.9589	0.25	0.9499
0.2625	0.9524	0.2625	0.9615	0.2625	0.9586	0.2625	0.9492
0.275	0.9504	0.275	0.9577	0.275	0.958	0.275	0.9511
0.2875	0.9526	0.2875	0.9557	0.2875	0.957	0.2875	0.9497
0.3	0.9544	0.3	0.9566	0.3	0.9546	0.3	0.9541
0.3125	0.9568	0.3125	0.9587	0.3125	0.9591	0.3125	0.9523
0.325	0.953	0.325	0.9589	0.325	0.9614	0.325	0.951
0.3375	0.9526	0.3375	0.9602	0.3375	0.9634	0.3375	0.9475
0.35	0.9516	0.35	0.9612	0.35	0.9573	0.35	0.9471
0.3625	0.9539	0.3625	0.9627	0.3625	0.9581	0.3625	0.9494
0.375	0.9518	0.375	0.9612	0.375	0.9521	0.375	0.9482
0.3875	0.9547	0.3875	0.9588	0.3875	0.9568	0.3875	0.9471
0.4	0.9542	0.4	0.9567	0.4	0.954	0.4	0.9468
0.425	0.9583	0.425	0.9592	0.425	0.9562	0.425	0.9463
